text,intent
the tracking hasnt updated in 4 days for #12347 please,order_tracking
hello do you ship to germany,shipping_delivery
can  i  return  opened  items,return_policy_question
WARRANTY CLAIM FOR ORDER 12345,warranty_claim
please bluetooth wont pair,technical_support
please can i return opened items,return_policy_question
"this SoundPods is not what i expected, refund please",return_refund_request
"the keyboard stopped working, warranty claim thanks",warranty_claim
does warranty cover water damage thanks,warranty_claim
If  i  open  the  box  can  i  still  return  it,return_policy_question
ok??,out_of_scope
"monitor goes black arndomly, see attached",technical_support
when is phone being delivered thanks,order_tracking
CAN I RETURN AN ACCESSOR YAFTER 3 WEEKS,return_policy_question
screen has dead pxiels after 2 months,warranty_claim
Can i return an accessory after 3 weeks asap,return_policy_question
hi track oredr PAC-2026-12351??,order_tracking
WHERE IS MY INVOICE FOR ORDER PAC-2026-12350,payment_issue
is  the  ProBook  14  good  for  gaming,product_information
HOW DO I CLAIM WARRANTY ON MY MONITOR,warranty_claim
screen turns off by itself aftre 5 minutes,technical_support
WILL I PAY CUSTOMS ON AN EU ORDER,shipping_delivery
the tracking hasnt updated in 4 days for PAC-2026-12345 please,order_tracking
"my monitor arrievd damaged, i want a refund",return_refund_request
hi BRO DELIVERY KAB HOGA ORDER 12345,order_tracking
track order PAC-2026-13245,order_tracking
hey return policy for monitors?,return_policy_question
write me a python script,out_of_scope
i  want  to  return  order  12345,return_refund_request
sir do you ship internationally,shipping_delivery
whats th ereturn window for laptops,return_policy_question
"hi  screen  flickering,  purchased  lsat  year,  warranty?",warranty_claim
how do i updat edrivers,technical_support
hello what is white glove delivery,shipping_delivery
do you sell extended warranty for Phone X thanks,product_information
is my probook 16 still under warranty,warranty_claim
is there free edlivery asap,shipping_delivery
how  long  is  the  return  period,return_policy_question
bought this 8 months ago and it stopped working,warranty_claim
is ProBook 14 available,product_information
"sir The soundpods i got is defective, i want to return it",return_refund_request
"sir i changed my mind, returning pac-2026-12350",return_refund_request
what happens if i return a bulk order urgent,return_policy_question
hey when will pac-2026-12350 arrive,order_tracking
ProBook 14 ka price yka hai,product_information
who won the match yesterday,out_of_scope
hello is my order out for delivery today,order_tracking
"please battery died, is this covered",warranty_claim
sir i was charged twice for order PAC-2026-12345,payment_issue
sir Is there free delivery,shipping_delivery
is ther ea restocking fee,return_policy_question
screen size of Vision 27?,product_information
"monitor goes black rnadomly, see attached",technical_support
#12347 kab tak aayega,order_tracking
hi What happens if i return a bulk order,return_policy_question
is Tab 11 available,product_information
order #12347 status please please,order_tracking
what si 2+2,out_of_scope
"my ProBook 14 wont turn on, bought 4 months ago",warranty_claim
delivery date for PAC-2026-12351?!!,order_tracking
please can  ipick a delivery date urgent,shipping_delivery
hello  getting  error  code  WIFI-503,technical_support
return oplicy for monitors?,return_policy_question
"shipped 6 dasy ago, still nothing",order_tracking
camera not detected in meetings urgent,technical_support
DOES PHONE X HAVE WIRELESS CHARGING thanks,product_information
Warranty claim for order #12347,warranty_claim
the laptop ka price kya hai,product_information
can i get it delivered fatser,shipping_delivery
