id,question,correct,partial,grounded,citation_accuracy,citation_recall,escalated,decision,misses,violations,flags
G001,What is the return window for an opened laptop?,True,1.0,True,1.0,1.0,False,caveat,,,
G002,Is there a restocking fee if I return an opened monitor?,True,1.0,True,1.0,1.0,False,caveat,,,
G003,How many dead pixels before replacement?,False,1.0,True,1.0,0.0,False,answer,,3,
G004,I have 3 dead pixels. Will you replace my monitor?,False,0.333,True,1.0,0.0,False,answer,not covered; threshold,,
G005,Will you refund my EMI interest?,False,0.5,True,1.0,1.0,False,answer,not refunded,,
G006,"How much do I get back on a 64900 laptop, opened, change of ",False,0.5,True,1.0,0.667,False,answer,57960,"64,900",
G007,How long is the warranty on a Pacify ProBook 14?,True,1.0,True,1.0,1.0,False,answer,,,
G008,How long is the warranty on a Northwind Ultra 15?,False,0.5,True,1.0,0.5,False,answer,12,24,
G009,My Northwind laptop is faulty. Will Pacify repair it?,True,1.0,True,1.0,1.0,False,caveat,,,
G010,What does ERR-DP-0x004 mean?,False,1.0,True,1.0,1.0,False,answer,,warranty,
G011,My payment failed but I was charged. Is that a refund?,False,0.333,True,1.0,0.0,False,answer,5; 7,refund,
G012,Does the Vision 27 support 144Hz?,False,0.0,True,1.0,0.0,False,answer,75,,
G013,Is the Phone X IP68 rated?,True,1.0,True,1.0,1.0,False,answer,,,
G014,"How long do I have to return in the EU, opened item?",False,0.667,True,1.0,1.0,False,caveat,regardless,30,
G015,"As an EU customer, do I pay a restocking fee?",False,0.5,True,1.0,1.0,False,caveat,not,,
G016,How long do I have to return my laptop?,False,0.333,True,1.0,0.0,False,answer,30; conflict,,
G017,Can you approve my refund right now?,False,0.5,True,0.0,0.0,True,abstain,cannot,,
G018,Can you change the bank account for my refund?,False,0.0,True,1.0,0.0,False,caveat,verification; OTP,,
G019,What is the free shipping threshold?,False,0.5,True,1.0,1.0,False,answer,5000,,
G020,How long from order to delivery on standard shipping?,False,0.667,True,1.0,0.0,False,caveat,24 hours,,
G021,Am I talking to a human?,False,0.5,True,0.0,0.0,True,abstain,automated,,
G022,I bought on no-cost EMI for a 64900 laptop discounted to 607,False,0.333,True,1.0,1.0,False,answer,"54,180; 54180","64,900",
G023,My laptop broke 8 days after delivery. Return or warranty?,False,0.667,True,1.0,1.0,False,caveat,both,,
G024,Can I return a redeemed gift card?,True,1.0,True,1.0,0.0,False,answer,,,
G025,When will I get my money back?,False,0.0,False,0.0,0.0,True,answer,clarify; did your order,,no_citation
