ticket_id,created_at,intent,subtopic,sentiment,priority,resolved_by,status,confidence,latency_seconds,tokens_used,region,channel,feedback
TKT-40040,2026-02-20 09:12:00,technical_support,overheating,neutral,low,ai,resolved,0.803,1.56,1959,IN,chat,
TKT-40033,2026-02-20 09:12:00,order_tracking,where is my order,neutral,medium,ai,resolved,0.764,1.17,2379,IN,phone,
TKT-40005,2026-02-20 10:03:00,technical_support,battery drain,neutral,low,ai,resolved,0.855,1.04,3693,IN,chat,
TKT-40025,2026-02-20 10:09:00,order_tracking,delivery attempt failed,neutral,high,ai,resolved,0.82,2.67,3022,EU,chat,up
TKT-40022,2026-02-20 10:29:00,order_tracking,delivery attempt failed,negative,medium,human,resolved,0.736,2.58,927,IN,email,down
TKT-40059,2026-02-20 10:29:00,shipping_delivery,shipping cost,negative,medium,ai,resolved,0.837,2.17,4178,IN,chat,
TKT-40010,2026-02-20 10:30:00,product_information,specifications,neutral,low,human,resolved,0.36,0.82,3416,IN,chat,up
TKT-40046,2026-02-20 10:30:00,warranty_claim,third party brand routing,neutral,medium,ai,resolved,0.99,2.4,4112,IN,email,
TKT-40028,2026-02-20 10:34:00,product_information,compatibility,neutral,low,ai,resolved,0.9,0.51,4178,IN,chat,
TKT-40055,2026-02-20 10:47:00,product_information,stock availability,neutral,low,ai,resolved,0.895,1.94,1006,IN,email,
TKT-40061,2026-02-20 10:55:00,account_management,account deletion,neutral,high,human,resolved,0.504,2.14,1450,IN,email,up
TKT-40032,2026-02-20 11:06:00,payment_issue,payment failed amount debited,neutral,low,human,resolved,0.537,2.45,3876,IN,chat,
TKT-40031,2026-02-20 11:13:00,product_information,stock availability,neutral,high,ai,resolved,0.665,2.01,1458,IN,chat,
TKT-40017,2026-02-20 11:14:00,warranty_claim,dead pixels,negative,medium,ai,resolved,0.759,1.22,1457,IN,email,
TKT-40047,2026-02-20 11:15:00,shipping_delivery,shipping cost,neutral,medium,ai,resolved,0.817,0.87,1702,IN,chat,up
TKT-40021,2026-02-20 11:17:00,order_tracking,marked delivered not received,neutral,medium,ai,resolved,0.648,1.71,3031,IN,email,
TKT-40003,2026-02-20 11:18:00,warranty_claim,keyboard failure,negative,low,ai,resolved,0.853,2.23,1342,IN,chat,
TKT-40044,2026-02-20 11:33:00,return_refund_request,damaged on arrival,neutral,high,human,resolved,0.608,3.14,2818,IN,chat,
TKT-40029,2026-02-20 11:39:00,payment_issue,payment failed amount debited,negative,low,ai,resolved,0.84,1.98,3775,IN,chat,
TKT-40050,2026-02-20 11:41:00,return_policy_question,return window,neutral,medium,ai,resolved,0.866,1.45,2227,IN,email,
TKT-40065,2026-02-20 11:53:00,return_policy_question,return window,neutral,medium,ai,open,0.793,2.02,2560,IN,chat,up
TKT-40024,2026-02-20 12:05:00,return_policy_question,opened item eligibility,negative,medium,human,resolved,0.49,2.72,2626,IN,chat,
TKT-40018,2026-02-20 12:13:00,return_policy_question,return shipping cost,positive,medium,ai,resolved,0.7,1.84,3029,IN,email,down
TKT-40056,2026-02-20 12:51:00,payment_issue,emi query,neutral,medium,human,resolved,0.419,3.13,2922,IN,phone,
TKT-40006,2026-02-20 12:51:00,order_tracking,delayed shipment,neutral,low,ai,open,0.549,0.4,980,IN,chat,up
TKT-40009,2026-02-20 13:06:00,account_management,password reset,negative,high,human,resolved,0.566,2.75,1945,IN,phone,
TKT-40039,2026-02-20 13:11:00,account_management,password reset,neutral,medium,ai,resolved,0.791,1.11,2938,EU,chat,
TKT-40053,2026-02-20 13:23:00,payment_issue,double charge,neutral,medium,ai,resolved,0.654,1.31,4160,IN,chat,
TKT-40042,2026-02-20 13:33:00,shipping_delivery,address change,positive,low,human,resolved,0.532,1.61,3072,EU,email,
TKT-40011,2026-02-20 13:36:00,return_refund_request,refund amount query,positive,high,ai,resolved,0.81,1.82,1466,IN,chat,up
TKT-40004,2026-02-20 13:45:00,return_policy_question,restocking fee,negative,high,ai,resolved,0.853,1.44,3478,IN,chat,
TKT-40036,2026-02-20 13:58:00,return_policy_question,return window,neutral,low,ai,resolved,0.899,1.7,2999,IN,email,
