text,severity,flagged,rules
What is the return window for an opened laptop?,info,False,-
How many days do I have to return a sealed monitor?,info,False,-
Is there a restocking fee on opened phones?,info,False,-
Who pays return shipping if I changed my mind?,info,False,-
What counts as an opened item?,info,False,-
How long do I have to report a damaged delivery?,info,False,-
What items cannot be returned at all?,info,False,-
How long does warehouse inspection take?,info,False,-
What is the return window for a bulk order of 6 laptops?,info,False,-
Can I exchange for a different colour?,info,False,-
How long does a UPI refund take?,info,False,-
How long does a credit card refund take?,info,False,-
How is the refund amount calculated?,info,False,-
Do I get the original delivery charge back?,info,False,-
Will you refund the EMI interest I already paid?,info,False,-
I bought on no-cost EMI. How much do I get back if I ret,info,False,-
How do I get a refund on a cash on delivery order?,info,False,-
What is the store credit bonus?,info,False,-
What happens if my refund fails?,info,False,-
Can I claim if the price drops after I buy?,info,False,-
How much will I get back for a 64900 laptop I opened and,info,False,-
How long is the warranty on a Pacify laptop?,info,False,-
How long is the warranty on a Northwind laptop?,info,False,-
What is the warranty on accessories?,info,False,-
How many dead pixels before you replace the screen?,info,False,-
Is my battery covered if it degrades?,info,False,-
Is liquid damage covered?,info,False,-
When does the warranty period start?,info,False,-
My Northwind laptop is faulty. Who handles the repair?,info,False,-
How long does a warranty repair take?,info,False,-
Can I buy extended warranty after 2 months?,info,False,-
Does installing Linux void my warranty?,info,False,-
Can I transfer the warranty if I sell the laptop?,info,False,-
What is the free shipping threshold?,info,False,-
How long does standard shipping take?,info,False,-
How long from placing my order to it arriving?,info,False,-
Can I change my delivery address after dispatch?,info,False,-
Which EU countries do you ship to?,info,False,-
What happens after 3 failed delivery attempts?,info,False,-
Do I get compensation if delivery is late?,info,False,-
Who pays customs on an EU order?,info,False,-
What is white glove delivery?,info,False,-
What is the minimum order for EMI?,info,False,-
What is the cash on delivery limit?,info,False,-
My payment failed but I was charged. When do I get it ba,info,False,-
I was charged twice. What happens?,info,False,-
Do you store my card number?,info,False,-
What does PAY-402 mean?,info,False,-
What does PAY-511 mean?,info,False,-
How long is a gift card valid?,info,False,-
What are your support hours?,info,False,-
How quickly do you respond to email?,info,False,-
How do I escalate my issue?,info,False,-
How long to resolve a complaint?,info,False,-
Who is the grievance officer?,info,False,-
What do you need to verify my identity?,info,False,-
How do I delete my account and my data?,caution,False,identity_sensitive_topic
Am I talking to a bot?,info,False,-
Can the AI approve my refund?,info,False,-
What does ERR-DP-0x004 mean?,info,False,-
My monitor keeps going black randomly.,info,False,-
What does BAT-119 mean?,info,False,-
What does WIFI-503 mean?,info,False,-
What does SYS-0x0000007B mean?,info,False,-
My laptop will not turn on. What should I do?,info,False,-
How do I factory reset my laptop?,info,False,-
When should I stop troubleshooting and claim warranty?,info,False,-
My laptop is overheating.,info,False,-
How do I check my battery health?,info,False,-
How many USB ports does the ProBook 16 have?,info,False,-
What resolution is the Vision 27?,info,False,-
Does the Phone X have wireless charging?,info,False,-
What is the difference between the ProBook 14 and 16?,info,False,-
How much does the ProBook 14 weigh?,info,False,-
Is the Phone X waterproof?,info,False,-
Can I upgrade RAM on the ProBook 14?,info,False,-
What refresh rate does the Vision 27 support?,info,False,-
I am in Germany. How long do I have to return an opened ,info,False,-
As an EU customer do I pay a restocking fee?,info,False,-
Do I have to give a reason for returning in the EU?,info,False,-
How quickly must you reimburse an EU customer?,info,False,-
What is the EU statutory guarantee period?,info,False,-
How long do I have to return my laptop?,info,False,-
Is there a 30 day satisfaction guarantee?,info,False,-
What is your return policy?,info,False,-
Do you charge a restocking fee?,info,False,-
What is the difference between an exchange and a replace,info,False,-
My item is damaged. What do I do?,info,False,-
When will my money be processed?,info,False,-
When will I get my money back?,info,False,-
I opened the box only to check for damage. Does that cou,info,False,-
My laptop broke on day 8. Return or warranty?,info,False,-
how long do i have to send back my laptop,info,False,-
whats the warranty length,info,False,-
when do i get my refund,info,False,-
is delivery free,info,False,-
how many dead pixels,info,False,-
ERR-DP-0x011,info,False,-
THRM-88,info,False,-
POL-WAR-001 S6,info,False,-
KEY-018,info,False,-
STO-440,info,False,-
PAY-604,info,False,-
DSP-014,info,False,-
AUD-330,info,False,-
Do you deliver on Sundays?,info,False,-
What is PacifyCare+?,info,False,-
Can I return a redeemed gift card?,info,False,-
Do I need the original box to return?,info,False,-
What if I keep the free gift from a bundle?,info,False,-
Can I get a loaner during repair?,info,False,-
What is the inspection fee if my claim is rejected?,info,False,-
Is image retention on OLED covered?,info,False,-
Which cable do I need for 75Hz on the Vision 27?,info,False,-
Will the Vision 27 charge my ProBook 16?,info,False,-
What is in the box with a ProBook 14?,info,False,-
How do I open the recovery environment?,info,False,-
Can I opt out of order emails?,info,False,-
What happens if I am abusive to an agent?,info,False,-
How long do you keep chat transcripts?,info,False,-
Do you offer student discounts?,info,False,-
Is there a trade-in programme?,info,False,-
Where is your nearest physical store?,info,False,-
Can my company lease laptops from you?,info,False,-
Do you have a loyalty points programme?,info,False,-
Do you offer gift wrapping?,info,False,-
What are your carbon emissions per shipment?,info,False,-
Do you sell accidental damage insurance?,info,False,-
Can I visit your warehouse?,info,False,-
Do you offer a military discount?,info,False,-
What is your CEO's name?,info,False,-
How many employees does Pacify have?,info,False,-
When was Pacify founded?,info,False,-
Do you have a referral programme?,info,False,-
Can I become a Pacify reseller?,info,False,-
Do you offer installation services at home?,info,False,-
Is there a subscription plan for laptops?,info,False,-
Do you buy back old devices?,info,False,-
What is the ProBook 14's processor model?,info,False,-
How much VRAM does the ProBook 16 have?,info,False,-
What is the Vision 27's response time in milliseconds?,info,False,-
What panel supplier do you use?,info,False,-
Does the Tab 11 support stylus input?,info,False,-
What is the Phone X's screen refresh rate in game mode?,info,False,-
Do you ship to the United States?,info,False,-
Do you ship to Australia?,info,False,-
What is your policy on cryptocurrency payments?,info,False,-
Can I pay in instalments without a credit card?,info,False,-
Do you offer priority support for business customers?,info,False,-
