intent,tickets,escalation_pct,negative_pct,high_priority_pct,avg_latency,avg_tokens,volume_share_pct
order_tracking,2231,12.7,27.4,20.3,1.66,2577,18.7
return_policy_question,1906,12.6,11.8,17.3,1.69,2554,16.0
return_refund_request,1420,71.1,51.7,24.9,1.97,2548,11.9
shipping_delivery,1409,17.2,22.1,20.2,1.67,2588,11.8
product_information,1289,15.7,5.3,16.0,1.7,2562,10.8
technical_support,1244,37.1,40.4,22.9,1.78,2557,10.4
warranty_claim,893,60.7,49.3,26.4,1.89,2567,7.5
payment_issue,647,62.6,63.1,26.6,1.92,2634,5.4
account_management,484,80.8,21.5,20.0,2.06,2577,4.1
complaint,264,90.5,84.5,37.5,2.05,2528,2.2
out_of_scope,118,7.6,6.8,18.6,1.72,2450,1.0
