id,query,type,difficulty,answered,first_gold_rank,recall@1,precision@1,coverage@1,ndcg@1,recall@3,precision@3,coverage@3,ndcg@3,recall@5,precision@5,coverage@5,ndcg@5,recall@10,precision@10,coverage@10,ndcg@10,mrr,top_score,n_gold
R001,What is the return window for an opened laptop?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.4,1.0,1.3868528072345416,1.0,0.2,1.0,1.3868528072345416,1.0,0.01605222734254992,1
R002,How many days do I have to return a sealed monitor?,single,easy,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.43067655807339306,1.0,0.1,1.0,0.43067655807339306,0.25,0.015552884615384614,1
R003,Is there a restocking fee on opened phones?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.01631411951348493,1
R004,Who pays return shipping if I changed my mind?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.3333333333333333,1.0,0.016393442622950817,1
R005,What counts as an opened item?,single,medium,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.5,1.0,0.1,1.0,0.5,0.3333333333333333,0.01605222734254992,1
R006,How long do I have to report a damaged delivery?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.4,1.0,1.4306765580733931,1.0,0.2,1.0,1.4306765580733931,1.0,0.016162909836065574,1
R007,What items cannot be returned at all?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R008,How long does warehouse inspection take?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016162909836065574,1
R009,What is the return window for a bulk order of 6 laptops?,multi,medium,True,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.3,1.0,1.218407436818164,1.0,0.01631411951348493,2
R010,Can I exchange for a different colour?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.6309297535714575,1.0,0.4,1.0,1.6309297535714575,1.0,0.2,1.0,1.6309297535714575,1.0,0.016393442622950817,1
R011,How long does a UPI refund take?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.015180995475113122,1
R012,How long does a credit card refund take?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016162909836065574,1
R013,How is the refund amount calculated?,single,medium,False,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.6487982101190621,0.14285714285714285,0.016208355367530406,1
R014,Do I get the original delivery charge back?,single,medium,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.1,1.0,0.6309297535714575,0.5,0.015482954545454545,1
R015,Will you refund the EMI interest I already paid?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.5,1.0,0.4,1.0,1.5,1.0,0.2,1.0,1.5,1.0,0.016393442622950817,1
R016,I bought on no-cost EMI. How much do I get back if I return?,multi,hard,True,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.3065735963827294,1.0,0.6,1.0,1.3065735963827294,1.0,0.4,1.0,1.5000000000000002,1.0,0.015905707196029774,2
R017,How do I get a refund on a cash on delivery order?,single,medium,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.1,1.0,0.6309297535714575,0.5,0.016237314597970336,1
R018,What is the store credit bonus?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R019,What happens if my refund fails?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.3562071871080221,1.0,0.016162909836065574,1
